parameters,simulationID,total,total_traced,total_not_traced,handled,handled_no_sla,dropped,avg_queue_time,avg_call_time,avg_drop_time,no_sla_ratio,drop_ratio
15-0.5-480-30-10-03-10-15-05,27,243,240,3,240,0,0,0.0,10.029166666666667,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,28,249,243,6,243,0,0,0.0,9.901234567901234,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,29,265,260,5,260,0,0,0.0,9.95,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,30,245,240,5,240,0,0,0.0,9.975,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,1,230,226,4,226,0,0,0.0,9.924778761061948,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,2,249,243,6,243,0,0,0.0,9.876543209876543,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,3,240,236,4,236,0,0,0.0,9.915254237288135,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,4,235,231,4,231,0,0,0.0,10.142857142857142,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,5,225,218,7,218,0,0,0.0,9.963302752293577,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,6,236,232,4,232,0,0,0.0,9.823275862068966,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,7,223,218,5,218,0,0,0.0,10.105504587155963,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,8,243,238,5,238,0,0,0.0,9.596638655462185,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,9,244,238,6,238,0,0,0.0,10.247899159663865,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,10,229,225,4,225,0,0,0.0,9.991111111111111,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,11,271,265,6,265,0,0,0.0,9.754716981132075,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,12,239,232,7,232,0,0,0.0,10.043103448275861,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,13,268,264,4,264,0,0,0.0,10.068181818181818,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,14,244,240,4,240,0,0,0.0,9.7625,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,15,237,230,7,230,0,0,0.0,9.969565217391304,,0.0,0.0
